Date;Home;Away;1(o);1(e);X(o);X(e);2(o);2(e);BTS(o);BTS(e);BTS_no(o);BTS_no(e);Over(o);Over(e);Under(o);Under(e);1H;Match;Goals;League;Link;Notes
20.01.2024 16:00;Rayo Vallecano;Las Palmas;1.85;1.70;3.30;3.50;4.50;5.50;2.05;2.00;1.70;1.75;2.35;2.10;1.57;1.70;0 - 1;0 - 2;35, 83;SPAIN: Laliga - Round 21;https://www.flashscore.com/match/football/QiPODWGk/#/match-summary;
19.01.2024 23:00;Alaves;Cadiz CF;1.75;1.62;3.40;3.75;5.25;6.50;2.20;2.50;1.62;1.50;2.40;2.50;1.53;1.50;0 - 0;1 - 0;51;SPAIN: Laliga - Round 21;https://www.flashscore.com/match/football/8nmYNGvc/#/match-summary;
14.01.2024 18:15;Cadiz CF;Valencia;2.90;3.00;3.00;2.88;2.60;2.63;2.05;2.20;1.70;1.62;2.50;2.88;1.50;1.40;1 - 1;1 - 4;8, 21, 52, 90+4, 90+8;SPAIN: Laliga - Round 20;https://www.flashscore.com/match/football/nP638yuA/#/match-summary;
14.01.2024 16:00;Almeria;Girona;4.00;3.60;3.75;3.75;1.83;1.95;1.50;1.57;2.50;2.25;1.50;1.60;2.50;2.30;0 - 0;0 - 0;;SPAIN: Laliga - Round 20;https://www.flashscore.com/match/football/KCR4mz3p/#/match-summary;
13.01.2024 23:00;Betis;Granada CF;1.57;1.70;4.33;3.75;5.00;5.00;1.80;1.91;1.95;1.91;1.73;1.99;2.08;1.91;0 - 0;1 - 0;76;SPAIN: Laliga - Round 20;https://www.flashscore.com/match/football/8Y7a9HP3/#/match-summary;
13.01.2024 20:30;Ath Bilbao;Real Sociedad;2.20;2.10;3.30;3.10;3.30;4.00;1.91;2.10;1.91;1.67;2.10;2.60;1.70;1.48;2 - 0;2 - 1;30, 42, 88;SPAIN: Laliga - Round 20;https://www.flashscore.com/match/football/b3Q8nfIj/#/match-summary;
13.01.2024 18:15;Mallorca;Celta Vigo;2.50;2.30;3.10;3.00;2.90;3.50;2.05;2.25;1.70;1.57;2.40;2.70;1.53;1.44;1 - 1;1 - 1;10, 43;SPAIN: Laliga - Round 20;https://www.flashscore.com/match/football/xEaG5ZOS/#/match-summary;
13.01.2024 16:00;Las Palmas;Villarreal;2.50;2.60;3.20;3.40;2.88;2.63;1.75;1.62;2.00;2.20;1.95;1.80;1.85;2.00;1 - 0;3 - 0;8, 51, 63;SPAIN: Laliga - Round 20;https://www.flashscore.com/match/football/fkAB6F9M/#/match-summary;
12.01.2024 23:00;Sevilla;Alaves;1.73;2.00;3.60;3.30;4.80;3.80;1.95;2.05;1.80;1.70;2.00;2.40;1.80;1.53;0 - 2;2 - 3;26, 40, 70, 82, 90;SPAIN: Laliga - Round 20;https://www.flashscore.com/match/football/bH5s1gXq/#/match-summary;
04.01.2024 23:30;Las Palmas;Barcelona;5.50;6.00;4.00;4.75;1.57;1.50;1.80;1.70;1.95;2.05;1.75;1.57;2.05;2.35;1 - 0;1 - 2;12, 55, 90+3;SPAIN: Laliga - Round 19;https://www.flashscore.com/match/football/n3VSebe4/#/match-summary;
04.01.2024 21:15;Sevilla;Ath Bilbao;3.10;2.90;3.40;3.30;2.25;2.45;1.75;1.80;2.00;1.95;1.95;2.05;1.85;1.75;0 - 1;0 - 2;30, 76;SPAIN: Laliga - Round 19;https://www.flashscore.com/match/football/vwSKcKQi/#/match-summary;
04.01.2024 19:00;Osasuna;Almeria;1.67;1.70;4.00;3.80;4.75;5.00;1.80;1.91;1.95;1.91;1.80;1.99;2.00;1.91;1 - 0;1 - 0;27;SPAIN: Laliga - Round 19;https://www.flashscore.com/match/football/0nTGb0Bo/#/match-summary;
03.01.2024 23:30;Girona;Atl. Madrid;2.60;2.55;3.40;3.75;2.60;2.50;1.62;1.50;2.20;2.50;1.75;1.60;2.05;2.30;3 - 2;4 - 3;2, 14, 26, 39, 44, 54, 90+1;SPAIN: Laliga - Round 19;https://www.flashscore.com/match/football/8CWOdvtb/#/match-summary;
03.01.2024 21:15;Celta Vigo;Betis;2.25;2.15;3.20;3.20;3.25;3.50;1.80;1.80;1.95;1.95;2.00;2.05;1.80;1.75;1 - 1;2 - 1;6, 16, 90+6;SPAIN: Laliga - Round 19;https://www.flashscore.com/match/football/URKXfIAA/#/match-summary;
03.01.2024 21:15;Real Madrid;Mallorca;1.22;1.20;6.50;6.50;11.00;15.00;2.25;2.20;1.57;1.62;1.62;1.57;2.25;2.35;0 - 0;1 - 0;78;SPAIN: Laliga - Round 19;https://www.flashscore.com/match/football/xhOugduN/#/match-summary;
03.01.2024 19:00;Granada CF;Cadiz CF;2.15;2.20;3.30;3.10;3.40;3.75;1.91;2.05;1.91;1.70;2.10;2.40;1.70;1.53;1 - 0;2 - 0;22, 70;SPAIN: Laliga - Round 19;https://www.flashscore.com/match/football/rVOyfxQG/#/match-summary;
02.01.2024 23:30;Valencia;Villarreal;2.25;2.20;3.40;3.40;3.10;3.30;1.70;1.80;2.05;1.95;1.85;2.07;1.95;1.83;2 - 0;3 - 1;4, 27, 57, 73;SPAIN: Laliga - Round 19;https://www.flashscore.com/match/football/bskYZGYp/#/match-summary;
